127.0.0.1 - - [09/Mar/2022:13:04:29 +0100] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:04:44 +0100] "GET /Ejercicio4Web/index.html HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:04:44 +0100] "GET /Ejercicio4Web/css/estilos.css HTTP/1.1" 200 44
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:05:51 +0100] "GET /Ejercicio4Web/index.html HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:05:51 +0100] "GET /Ejercicio4Web/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:09:12 +0100] "GET /Ejercicio4Web/index.html HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:09:12 +0100] "GET /Ejercicio4Web/css/estilos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:09:15 +0100] "GET /Ejercicio4Web/ejercicio3.html HTTP/1.1" 200 6150
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:09:15 +0100] "GET /Ejercicio4Web/css/cssEj3.css HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:09:15 +0100] "GET /Ejercicio4Web/images/conce2.png HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:09:52 +0100] "GET /Ejercicio4Web/ejercicio3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:09:52 +0100] "GET /Ejercicio4Web/images/conce2.png HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:09:52 +0100] "GET /Ejercicio4Web/css/cssEj3.css HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:09:52 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:10:55 +0100] "GET /Ejercicio4Web/ejercicio3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:10:55 +0100] "GET /Ejercicio4Web/css/cssEj3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:10:55 +0100] "GET /Ejercicio4Web/images/conce2.png HTTP/1.1" 200 341580
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:10:55 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:12:58 +0100] "GET /Ejercicio4Web/ejercicio2.html HTTP/1.1" 200 5699
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:12:58 +0100] "GET /Ejercicio4Web/images/user_icon.jpg HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:12:58 +0100] "GET /Ejercicio4Web/css/cssEj2.css.css HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:12:58 +0100] "GET /Ejercicio4Web/images/aplicacion.jpg HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:13:13 +0100] "GET /Ejercicio4Web/ejercicio2.html HTTP/1.1" 200 5695
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:13:13 +0100] "GET /Ejercicio4Web/images/user_icon.jpg HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:13:13 +0100] "GET /Ejercicio4Web/images/aplicacion.jpg HTTP/1.1" 404 730
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:13:13 +0100] "GET /Ejercicio4Web/css/cssEj2.css HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:13:13 +0100] "GET /Ejercicio4Web/css/fontawesome-all.min.css HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:13:41 +0100] "GET /Ejercicio4Web/ejercicio2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2022:13:13:41 +0100] "GET /Ejercicio4Web/css/cssEj2.css HTTP/1.1" 304 -
